Datum;Event_Name;Typ;Gewichtung;Ort
2026-03-08;GCZ vs FC Lausanne-Sport;Super League;1;Letzigrund
2026-03-14;FCZ vs FC Sion;Super League;2;Letzigrund
2026-03-21;FCZ vs FC Thun;Super League;2;Letzigrund
2026-04-06;GCZ vs FC Sion;Super League;1;Letzigrund
2026-04-11;FCZ vs FC Lugano;Super League;2;Letzigrund
2026-04-25;GCZ vs FC Luzern;Super League;1;Letzigrund
2026-05-03;GCZ vs Servette FC;Super League;1;Letzigrund
2026-05-09;FCZ vs Grasshopper Club Zürich;Super League;2;Letzigrund
2026-05-12;GCZ vs FC Winterthur;Super League;1;Letzigrund
2026-05-16;FCZ vs Servette FC;Super League;2;Letzigrund
